1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
10.0,10.0,10.0,10.0,10.0,2500.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.0,10.0,10.0,10.0,0.0,0.0,1.0
10.0,10.25,10.0,10.25,10.25,3000.0,0.0,1.0
10.25,10.25,10.25,10.25,10.25,0.0,0.0,1.0
10.25,10.25,10.25,10.25,10.25,0.0,0.0,1.0
10.25,10.25,10.25,10.25,10.25,0.0,0.0,1.0
8.5,8.5,8.5,8.5,8.5,2000.0,0.0,1.0
8.5,8.5,8.5,8.5,8.5,0.0,0.0,1.0
8.5,8.5,8.5,8.5,8.5,0.0,0.0,1.0
8.5,8.5,8.5,8.5,8.5,0.0,0.0,1.0
8.5,8.5,8.5,8.5,8.5,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,1000.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
9.0,9.0,9.0,9.0,9.0,0.0,0.0,1.0
