1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
25.1667,25.1667,25.1667,25.1667,25.1667,0.0,0.0,1.0
25.6667,25.6667,25.3333,25.3333,25.3333,150.0,0.0,1.0
25.1667,25.1667,25.1667,25.1667,25.1667,0.0,0.0,1.0
24.6667,25.5,24.6667,25.3333,25.3333,120.0,0.0,1.0
24.8333,25.6,24.8333,25.6,25.6,3000.0,0.0,1.0
25.5,26.0,25.5,25.6667,25.6667,3000.0,0.0,1.0
25.8333,26.5667,25.8333,26.5667,26.5667,105.0,0.0,1.0
26.6667,27.8333,26.6667,27.6667,27.6667,300.0,0.0,1.0
27.8333,27.8333,27.3333,27.5,27.5,300.0,0.0,1.0
27.3333,28.3333,27.3333,28.3333,28.3333,30.0,0.0,1.0
28.1667,28.1667,27.6667,27.6667,27.6667,0.0,0.0,1.0
27.3333,28.3333,27.3333,28.3333,28.3333,0.0,0.0,1.0
27.3333,28.0,27.3333,28.0,28.0,0.0,0.0,1.0
27.8333,28.3333,26.6833,26.6833,26.6833,135.0,0.0,1.0
27.3333,27.6667,27.3333,27.6667,27.6667,600.0,0.0,1.0
28.3333,28.3333,27.5,27.5,27.5,0.0,0.0,1.0
27.0,27.0,27.0,27.0,27.0,0.0,0.0,1.0
27.8333,28.1667,27.8333,28.1667,28.1667,15.0,0.0,1.0
27.1667,28.0,27.1667,27.6667,27.6667,174.0,0.0,1.0
27.3333,28.6667,27.3333,28.6667,28.6667,150.0,0.0,1.0
28.3333,28.3333,28.3333,28.3333,28.3333,0.0,0.0,1.0
28.5,28.5,28.5,28.5,28.5,0.0,0.0,1.0
28.6667,29.3333,28.6667,29.3333,29.3333,90.0,0.0,1.0
28.8333,28.8333,28.8333,28.8333,28.8333,9.0,0.0,1.0
29.3333,29.5,29.3333,29.5,29.5,600.0,0.0,1.0
29.3333,29.3333,29.3333,29.3333,29.3333,0.0,0.0,1.0
28.8333,28.8333,28.8333,28.8333,28.8333,0.0,0.0,1.0
28.6667,28.6667,28.6667,28.6667,28.6667,0.0,0.0,1.0
28.6667,28.6667,28.6667,28.6667,28.6667,0.0,0.0,1.0
29.3333,30.8333,29.3333,30.8333,30.8333,300.0,0.0,1.0
29.6667,29.6667,29.6667,29.6667,29.6667,0.0,0.0,1.0
30.1667,30.1667,30.1667,30.1667,30.1667,0.0,0.0,1.0
30.6667,30.6667,30.6667,30.6667,30.6667,0.0,0.0,1.0
